| Held Coins | Turns | VP | Final Coins | Growth Coins | TM | Sub | TM Cost | Sub Cost | JoinWars |
|------------|-------|----|------------|--------------|----|-----|---------|----------|----------|
|         10 |     2 |  72 |         64 |           70 |   2 |   6 |      16 |       12 |       36 |
|         10 |     3 | 468 |        134 |          150 |   6 |  13 |      72 |       26 |       36 |
|         10 |     4 | 486 |        189 |          310 |   9 |   9 |     135 |       18 |       36 |
|         10 |     5 | 450 |        361 |          630 |  15 |   5 |     315 |       10 |       36 |
|         20 |     1 |  48 |         60 |           60 |   2 |   4 |      16 |        8 |       36 |
|         20 |     2 | 468 |        134 |          140 |   6 |  13 |      72 |       26 |       36 |
|         20 |     3 | 486 |        189 |          300 |   9 |   9 |     135 |       18 |       36 |
|         20 |     4 | 450 |        361 |          620 |  15 |   5 |     315 |       10 |       36 |
|         30 |     1 | 168 |         90 |           90 |   4 |   7 |      40 |       14 |       36 |
|         30 |     2 | 486 |        189 |          210 |   9 |   9 |     135 |       18 |       36 |
|         30 |     3 | 480 |        212 |          450 |  10 |   8 |     160 |       16 |       36 |
|         50 |     0 |  18 |         49 |           50 |   1 |   3 |       7 |        6 |       36 |
|         50 |     1 | 468 |        134 |          150 |   6 |  13 |      72 |       26 |       36 |
|         50 |     2 | 486 |        189 |          350 |   9 |   9 |     135 |       18 |       36 |
|         50 |     3 | 450 |        361 |          750 |  15 |   5 |     315 |       10 |       36 |
